"JaVale McGee",4700,LAL,C,CHA,41.22735,17.8203,28.65
"Kentavious Caldwell-Pope",3800,LAL,SG/SF,CHA,36.2502,16.72496,19.18
"Tyson Chandler",3500,LAL,C,CHA,34.85328,18.04,18.04
"Kyle Kuzma",7800,LAL,SF/PF,CHA,45.40404,19.44888,34.98
"LeBron James",10700,LAL,SF/PF,CHA,67.97471,21.13231,53.23
"Lonzo Ball",5600,LAL,PG,CHA,43.38135,16.7573,32.35
"Josh Hart",4500,LAL,PG/SG,CHA,35.13666,17.5557,25.26
"Lance Stephenson",3500,LAL,SG/SF,CHA,33.0432,15.3216,19.2
"Sviatoslav Mykhailiuk",3000,LAL,SG/SF,CHA,9.17094,2.11304,8.66
"Cody Zeller",4900,CHA,C,LAL,39.24447,15.43015,27.31
"Michael Kidd-Gilchrist",3700,CHA,SF/PF,LAL,31.4959,16.3305,19.1
"Tony Parker",4300,CHA,PG,LAL,24.79759,14.51,14.51
"Marvin Williams",5100,CHA,SF/PF,LAL,42.48544,21.99034,25.78
"Nicolas Batum",4500,CHA,SG/SF,LAL,35.28296,18.22614,25.42
"Kemba Walker",9300,CHA,PG,LAL,60.26454,22.29024,44.94
"Jeremy Lamb",5300,CHA,SG/SF,LAL,48.39536,20.8964,35.12
"Mohamed Bamba",3500,ORL,C,UTA,14.36225,2.56115,14.15
"Jerian Grant",3200,ORL,PG,UTA,27.82103,14.54846,16.57
"Derrick Favors",5000,UTA,PF/C,ORL,43.65438,20.95101,25.77
"Royce O'Neale",3500,UTA,SF,ORL,26.27884,13.21054,17.78
"Kyle Korver",3100,UTA,SG/SF,ORL,20.7562,9.3574,11.8
"Rudy Gobert",7400,UTA,C,ORL,51.61012,18.30015,36.97
"Jae Crowder",4500,UTA,SF/PF,ORL,27.55044,10.53072,18.54
"Donovan Mitchell",6600,UTA,PG/SG,ORL,47.07814,19.88304,36.02
"Joe Ingles",5700,UTA,SG/SF,ORL,41.03256,18.11616,27.12
"Thabo Sefolosha",3100,UTA,SF/PF,ORL,20.31436,11.37712,13.48
"Dante Exum",3400,UTA,PG/SG,ORL,19.79635,9.00249,11.41
"Nikola Vucevic",8900,ORL,C,UTA,52.4841,19.36266,41.82
"Terrence Ross",5500,ORL,SG/SF,UTA,33.70913,18.54329,21.79
"Jonathon Simmons",3900,ORL,SG/SF,UTA,25.28746,13.7596,16.78
"Aaron Gordon",7800,ORL,SF/PF,UTA,41.9879,17.8269,32.65
"Jonathan Isaac",4200,ORL,SF/PF,UTA,34.33944,16.52262,21.57
"D.J. Augustin",4000,ORL,PG,UTA,36.98487,13.4154,23.13
"Evan Fournier",5700,ORL,SG/SF,UTA,37.38917,15.22716,29.51
"Miles Bridges",3500,CHA,SF/PF,LAL,16.01143,3.04388,15.53
"Malik Monk",3300,CHA,PG/SG,LAL,21.3805,11.58052,14.02
"Jose Calderon",3000,DET,PG,BOS,13.77279,6.47498,7.69
"Jon Leuer",3100,DET,PF/C,BOS,19.50851,10.40535,12.17
"Chris Paul",8000,HOU,PG,MEM,53.07819,18.86963,39.23
"Bruce Brown",3500,DET,PG/SG,BOS,13.57827,2.58132,13.17
"Langston Galloway",3400,DET,PG/SG,BOS,31.4265,15.89575,18.25
"Andre Drummond",8500,DET,C,BOS,58.76424,21.98858,48.01
"Stanley Johnson",3700,DET,SF/PF,BOS,28.83096,13.16196,17.41
"James Harden",11100,HOU,PG/SG,MEM,59.2746,19.245,51.32
"Eric Gordon",4800,HOU,SG/SF,MEM,42.6832,19.6248,29.6
"Nene Hilario",3200,HOU,C,MEM,20.32398,10.56304,12.34
"Brandon Knight",3000,HOU,PG/SG,MEM,15.38525,7.462,10.25
"Mike Conley",7700,MEM,PG,HOU,53.75412,20.79644,35.98
"Gerald Green",3500,HOU,SG/SF,MEM,32.45625,15.20625,18.75
"Danuel House",3700,HOU,SF/PF,MEM,24.73644,11.7157,14.83
"P.J. Tucker",3700,HOU,SF/PF,MEM,38.4714,16.6122,19.8
"Clint Capela",8100,HOU,C,MEM,54.53913,23.40591,37.33
"Blake Griffin",9000,DET,PF/C,BOS,59.52075,21.228,45.75
"Luke Kennard",3500,DET,SG/SF,BOS,29.51691,14.3042,19.33
"Jayson Tatum",6100,BOS,SF/PF,DET,41.0083,17.24286,32.29
"Marcus Morris",6700,BOS,SF/PF,DET,39.177,15.03236,29.02
"Aron Baynes",4100,BOS,C,DET,27.29424,12.27903,16.89
"Marcus Smart",4600,BOS,PG/SG,DET,28.15296,11.43714,20.46
"Kyrie Irving",8900,BOS,PG,DET,56.08062,22.41552,41.82
"Frank Kaminsky",3300,CHA,PF/C,LAL,17.1891,8.7756,10.65
"Willy Hernangomez",3400,CHA,C,LAL,19.596,10.68672,11.04
"Gordon Hayward",5700,BOS,SF/PF,DET,40.7376,19.0992,27.6
"Jaylen Brown",5400,BOS,SG/SF,DET,40.20692,18.0193,21.71
"Reggie Jackson",5100,DET,PG/SG,BOS,43.662,16.60688,30.64
"Reggie Bullock",3900,DET,SG/SF,BOS,30.50982,12.92247,18.81
"Semi Ojeleye",3100,BOS,SF/PF,DET,14.0679,7.35,7.35
"Robert Williams",3500,BOS,PF/C,DET,7.98486,1.83976,7.54
"Terry Rozier",4400,BOS,PG/SG,DET,34.40034,18.52326,21.69
"Daniel Theis",4300,BOS,PF/C,DET,20.75307,11.36328,12.57
"Ricky Rubio",5900,UTA,PG,ORL,41.97132,16.79483,31.51
